Team,Points,GoalsFor,GoalsAgainst,GoalDifference,Position,Season
Real Madrid,87,70,25,45,1,2019-20
Barcelona,82,86,38,48,2,2019-20
Atletico Madrid,70,51,27,24,3,2019-20
Sevilla,70,54,34,20,4,2019-20
Villarreal,60,63,49,14,5,2019-20
Real Sociedad,56,56,48,8,6,2019-20
Granada,56,52,45,7,7,2019-20
Getafe,54,43,37,6,8,2019-20
Valencia,53,46,53,-7,9,2019-20
Osasuna,52,46,54,-8,10,2019-20
Athletic Club,51,41,38,3,11,2019-20
Levante,49,47,53,-6,12,2019-20
Valladolid,42,32,43,-11,13,2019-20
Eibar,42,39,56,-17,14,2019-20
Real Betis,41,48,60,-12,15,2019-20
Alavés,39,34,59,-25,16,2019-20
Celta Vigo,37,37,49,-12,17,2019-20
Leganés,36,30,51,-21,18,2019-20
Mallorca,33,40,65,-25,19,2019-20
Espanol,25,27,58,-31,20,2019-20
Atletico Madrid,86,67,25,42,1,2020-21
Real Madrid,84,67,28,39,2,2020-21
Barcelona,79,85,38,47,3,2020-21
Sevilla,77,53,33,20,4,2020-21
Real Sociedad,62,59,38,21,5,2020-21
Real Betis,61,50,50,0,6,2020-21
Villarreal,58,60,44,16,7,2020-21
Celta Vigo,53,55,57,-2,8,2020-21
Athletic Club,46,46,42,4,9,2020-21
Granada,46,47,65,-18,10,2020-21
Osasuna,44,37,48,-11,11,2020-21
Cádiz,44,36,58,-22,12,2020-21
Valencia,43,50,53,-3,13,2020-21
Levante,41,46,57,-11,14,2020-21
Getafe,38,28,43,-15,15,2020-21
Alavés,38,36,57,-21,16,2020-21
Elche,36,34,55,-21,17,2020-21
Huesca,34,34,53,-19,18,2020-21
Valladolid,31,34,57,-23,19,2020-21
Eibar,30,29,52,-23,20,2020-21
Real Madrid,86,80,31,49,1,2021-22
Barcelona,73,68,38,30,2,2021-22
Atletico Madrid,71,65,43,22,3,2021-22
Sevilla,70,53,30,23,4,2021-22
Real Betis,65,62,40,22,5,2021-22
Real Sociedad,62,40,37,3,6,2021-22
Villarreal,59,63,37,26,7,2021-22
Athletic Club,55,43,36,7,8,2021-22
Valencia,48,48,53,-5,9,2021-22
Osasuna,47,37,51,-14,10,2021-22
Celta Vigo,46,43,43,0,11,2021-22
Rayo Vallecano,42,39,50,-11,12,2021-22
Elche,42,40,52,-12,13,2021-22
