Team,TotalMatches,Wins,Draws,Losses,WinRate,DrawRate,LossRate,TotalGoalsFor,TotalGoalsAgainst,AvgGoalsFor,AvgGoalsAgainst,GoalDifference,AvgGoalDifference,TotalPoints,PointsPerGame,AvgLeaguePosition,BestPosition,WorstPosition,PositionStdDev,ConsistencyScore
Athletic Club,238,94,73,71,0.3949579831932773,0.3067226890756303,0.29831932773109243,301,235,1.2647058823529411,0.9873949579831933,66,0.2773109243697479,355,1.4915966386554622,7.714285714285714,4,11,2.4299715851758235,75.70028414824176
Celta Vigo,238,71,72,95,0.29831932773109243,0.3025210084033613,0.39915966386554624,294,329,1.2352941176470589,1.3823529411764706,-35,-0.14705882352941177,285,1.1974789915966386,11.857142857142858,7,17,3.484660262185848,65.15339737814152
Valencia,238,72,74,92,0.3025210084033613,0.31092436974789917,0.3865546218487395,280,319,1.1764705882352942,1.3403361344537814,-39,-0.1638655462184874,290,1.218487394957983,11.857142857142858,9,18,3.38765264987284,66.1234735012716
Mallorca,200,56,51,93,0.28,0.255,0.465,192,274,0.96,1.37,-82,-0.41,219,1.095,14.333333333333334,9,19,3.983298465677241,60.16701534322759
Leganés,76,17,25,34,0.2236842105263158,0.32894736842105265,0.4473684210526316,69,107,0.9078947368421053,1.4078947368421053,-38,-0.5,76,1.0,18.0,18,18,0.0,
Villarreal,238,108,60,70,0.453781512605042,0.25210084033613445,0.29411764705882354,399,296,1.6764705882352942,1.2436974789915967,103,0.4327731092436975,384,1.6134453781512605,5.714285714285714,3,8,1.7043362064926932,82.95663793507308
Alavés,200,52,52,96,0.26,0.26,0.48,184,284,0.92,1.42,-100,-0.5,208,1.04,14.666666666666666,10,20,3.5023801430836525,64.97619856916347
Espanol,162,39,47,76,0.24074074074074073,0.29012345679012347,0.4691358024691358,173,242,1.0679012345679013,1.4938271604938271,-69,-0.42592592592592593,164,1.0123456790123457,14.6,5,20,5.9413803110051795,40.586196889948205
Real Betis,238,97,69,72,0.40756302521008403,0.28991596638655465,0.3025210084033613,326,298,1.3697478991596639,1.2521008403361344,28,0.11764705882352941,360,1.5126050420168067,7.285714285714286,5,15,3.450327796711771,65.49672203288229
Atletico Madrid,238,139,58,41,0.5840336134453782,0.24369747899159663,0.1722689075630252,409,211,1.718487394957983,0.8865546218487395,198,0.8319327731092437,475,1.995798319327731,3.0,1,4,1.0,90.0
Granada,152,41,38,73,0.26973684210526316,0.25,0.48026315789473684,181,250,1.1907894736842106,1.644736842105263,-69,-0.45394736842105265,161,1.0592105263157894,13.75,7,20,6.238322424070967,37.616775759290334
Levante,124,33,35,56,0.2661290322580645,0.28225806451612906,0.45161290322580644,158,204,1.2741935483870968,1.6451612903225807,-46,-0.3709677419354839,134,1.0806451612903225,15.0,12,19,2.943920288775949,70.56079711224051
Osasuna,238,78,69,91,0.3277310924369748,0.28991596638655465,0.38235294117647056,259,315,1.088235294117647,1.3235294117647058,-56,-0.23529411764705882,303,1.273109243697479,10.142857142857142,7,14,2.2677868380553634,77.32213161944637
Real Madrid,238,165,46,27,0.6932773109243697,0.19327731092436976,0.1134453781512605,479,194,2.0126050420168067,0.8151260504201681,285,1.1974789915966386,541,2.273109243697479,1.4285714285714286,1,2,0.5345224838248488,94.65477516175152
Getafe,238,66,74,98,0.2773109243697479,0.31092436974789917,0.4117647058823529,224,271,0.9411764705882353,1.138655462184874,-47,-0.19747899159663865,272,1.1428571428571428,12.571428571428571,8,15,2.7602622373694166,72.39737762630583
Barcelona,238,159,40,39,0.6680672268907563,0.16806722689075632,0.1638655462184874,515,229,2.1638655462184873,0.9621848739495799,286,1.2016806722689075,517,2.172268907563025,1.8571428571428572,1,3,0.6900655593423541,93.09934440657646
Sevilla,238,98,67,73,0.4117647058823529,0.2815126050420168,0.3067226890756303,314,276,1.319327731092437,1.1596638655462186,38,0.15966386554621848,361,1.5168067226890756,9.0,4,16,4.96655480858378,50.3344519141622
Real Sociedad,238,102,60,76,0.42857142857142855,0.25210084033613445,0.31932773109243695,302,257,1.26890756302521,1.0798319327731092,45,0.18907563025210083,366,1.5378151260504203,8.0,4,17,4.725815626252608,52.74184373747392
Eibar,76,17,21,38,0.2236842105263158,0.27631578947368424,0.5,68,108,0.8947368421052632,1.4210526315789473,-40,-0.5263157894736842,72,0.9473684210526315,17.0,14,20,4.242640687119285,57.573593128807154
Valladolid,152,29,42,81,0.19078947368421054,0.27631578947368424,0.5328947368421053,125,253,0.8223684210526315,1.6644736842105263,-128,-0.8421052631578947,129,0.8486842105263158,17.5,13,20,3.1091263510296048,68.90873648970395
Cádiz,152,35,53,64,0.23026315789473684,0.34868421052631576,0.42105263157894735,127,217,0.8355263157894737,1.4276315789473684,-90,-0.5921052631578947,158,1.0394736842105263,15.5,12,18,2.516611478423583,74.83388521576417
Huesca,38,7,13,18,0.18421052631578946,0.34210526315789475,0.47368421052631576,34,53,0.8947368421052632,1.394736842105263,-19,-0.5,34,0.8947368421052632,18.0,18,18,,0.0
Elche,124,27,36,61,0.21774193548387097,0.2903225806451613,0.49193548387096775,115,184,0.9274193548387096,1.4838709677419355,-69,-0.5564516129032258,117,0.9435483870967742,14.5,8,20,5.196152422706632,48.03847577293368
Rayo Vallecano,162,49,48,65,0.30246913580246915,0.2962962962962963,0.4012345679012346,166,206,1.0246913580246915,1.271604938271605,-40,-0.24691358024691357,195,1.2037037037037037,11.4,7,17,3.7815340802378077,62.184659197621926
Almeria,76,14,20,42,0.18421052631578946,0.2631578947368421,0.5526315789473685,92,140,1.2105263157894737,1.8421052631578947,-48,-0.631578947368421,62,0.8157894736842105,18.0,17,19,1.4142135623730951,85.85786437626905
Girona,124,50,28,46,0.4032258064516129,0.22580645161290322,0.3709677419354839,196,183,1.5806451612903225,1.4758064516129032,13,0.10483870967741936,178,1.435483870967742,12.5,3,20,7.593857166596345,24.06142833403655
Las Palmas,76,18,18,40,0.23684210526315788,0.23684210526315788,0.5263157894736842,73,108,0.9605263157894737,1.4210526315789473,-35,-0.4605263157894737,72,0.9473684210526315,17.5,16,19,2.1213203435596424,78.78679656440357
Oviedo,10,2,1,7,0.2,0.1,0.7,7,19,0.7,1.9,-12,-1.2,7,0.7,19.0,19,19,,0.0
