Team,TotalMatches,Wins,Draws,Losses,WinRate,DrawRate,LossRate,TotalGoalsFor,TotalGoalsAgainst,AvgGoalsFor,AvgGoalsAgainst_x,GoalDifference,AvgGoalDifference,TotalPoints,PointsPerGame,AvgLeaguePosition,BestPosition,WorstPosition,PositionStdDev,ConsistencyScore,AvgxG,AvgxGA,AvgGoals,AvgGoalsAgainst_y,xGDifference,xGMatches,HomeMatches,HomeWins,HomeWinRate,HomePointsPerGame,HomeGoalsFor,HomeGoalsAgainst,AwayMatches,AwayWins,AwayWinRate,AwayPointsPerGame,AwayGoalsFor,AwayGoalsAgainst,HomeAdvantage,TotalH2HMatches,H2HWins,H2HDraws,H2HLosses,H2HWinRate
Athletic Club,238,94,73,71,0.3949579831932773,0.3067226890756303,0.29831932773109243,301,235,1.2647058823529411,0.9873949579831933,66,0.2773109243697479,355,1.4915966386554622,7.714285714285714,4,11,2.4299715851758235,75.70028414824176,1.2955654101995564,1.0496674057649669,1.288248337028825,1.0022172949002217,0.24589800443458953,451.0,120,61,0.5083333333333333,1.775,182,103,118,33,0.2796610169491525,1.2033898305084745,119,132,0.5716101694915254,102.0,32.0,27.0,43.0,0.3137254901960784
Celta Vigo,238,71,72,95,0.29831932773109243,0.3025210084033613,0.39915966386554624,294,329,1.2352941176470589,1.3823529411764706,-35,-0.14705882352941177,285,1.1974789915966386,11.857142857142858,7,17,3.484660262185848,65.15339737814152,1.22039911308204,1.2518847006651883,1.221729490022173,1.3835920177383592,-0.031485587583148344,451.0,120,45,0.375,1.4166666666666667,162,145,118,26,0.22033898305084745,0.9745762711864406,132,184,0.4420903954802261,,,,,
Valencia,238,72,74,92,0.3025210084033613,0.31092436974789917,0.3865546218487395,280,319,1.1764705882352942,1.3403361344537814,-39,-0.1638655462184874,290,1.218487394957983,11.857142857142858,9,18,3.38765264987284,66.1234735012716,1.1419068736141906,1.3197339246119735,1.1818181818181819,1.3481152993348116,-0.17782705099778284,451.0,119,52,0.4369747899159664,1.6302521008403361,169,121,119,20,0.16806722689075632,0.8067226890756303,111,198,0.8235294117647058,,,,,
Mallorca,200,56,51,93,0.28,0.255,0.465,192,274,0.96,1.37,-82,-0.41,219,1.095,14.333333333333334,9,19,3.983298465677241,60.16701534322759,1.0304,1.3128,0.9546666666666667,1.3786666666666667,-0.2824,375.0,100,39,0.39,1.48,108,102,100,17,0.17,0.71,84,172,0.77,,,,,
Leganés,76,17,25,34,0.2236842105263158,0.32894736842105265,0.4473684210526316,69,107,0.9078947368421053,1.4078947368421053,-38,-0.5,76,1.0,18.0,18,18,0.0,,0.9807142857142858,1.3342857142857143,0.8714285714285714,1.4,-0.35357142857142854,140.0,38,12,0.3157894736842105,1.1842105263157894,40,53,38,5,0.13157894736842105,0.8157894736842105,29,54,0.36842105263157887,,,,,
Villarreal,238,108,60,70,0.453781512605042,0.25210084033613445,0.29411764705882354,399,296,1.6764705882352942,1.2436974789915967,103,0.4327731092436975,384,1.6134453781512605,5.714285714285714,3,8,1.7043362064926932,82.95663793507308,1.6088888888888888,1.2542222222222221,1.6711111111111112,1.2466666666666666,0.3546666666666667,450.0,119,59,0.4957983193277311,1.7647058823529411,233,146,119,49,0.4117647058823529,1.4621848739495797,166,150,0.3025210084033614,104.0,35.0,30.0,39.0,0.33653846153846156
Alavés,200,52,52,96,0.26,0.26,0.48,184,284,0.92,1.42,-100,-0.5,208,1.04,14.666666666666666,10,20,3.5023801430836525,64.97619856916347,1.088,1.34,0.9253333333333333,1.464,-0.252,375.0,100,37,0.37,1.39,102,106,100,15,0.15,0.69,82,178,0.7,,,,,
Espanol,162,39,47,76,0.24074074074074073,0.29012345679012347,0.4691358024691358,173,242,1.0679012345679013,1.4938271604938271,-69,-0.42592592592592593,164,1.0123456790123457,14.6,5,20,5.9413803110051795,40.586196889948205,,,,,,,82,27,0.32926829268292684,1.3048780487804879,100,112,80,12,0.15,0.7125,73,130,0.5923780487804878,73.0,7.0,21.0,45.0,0.0958904109589041
Real Betis,238,97,69,72,0.40756302521008403,0.28991596638655465,0.3025210084033613,326,298,1.3697478991596639,1.2521008403361344,28,0.11764705882352941,360,1.5126050420168067,7.285714285714286,5,15,3.450327796711771,65.49672203288229,1.329268292682927,1.2862527716186254,1.352549889135255,1.246119733924612,0.04301552106430151,451.0,119,59,0.4957983193277311,1.7394957983193278,187,133,119,38,0.31932773109243695,1.2857142857142858,139,165,0.45378151260504196,103.0,27.0,30.0,46.0,0.2621359223300971
Atletico Madrid,238,139,58,41,0.5840336134453782,0.24369747899159663,0.1722689075630252,409,211,1.718487394957983,0.8865546218487395,198,0.8319327731092437,475,1.995798319327731,3.0,1,4,1.0,90.0,1.545232815964523,0.9529933481152993,1.7095343680709534,0.8802660753880266,0.5922394678492237,451.0,119,86,0.7226890756302521,2.361344537815126,239,95,119,53,0.44537815126050423,1.6302521008403361,170,116,0.73109243697479,102.0,49.0,31.0,22.0,0.4803921568627451
