Team,AvgAttendance,TotalAttendance,MaxAttendance,MinAttendance,MatchesWithAttendance,AwayAttendance,HomeAttendance,EstimatedMatchdayRevenue,AttendancePerMatch
Alavés,20686.783393501806,5730239.0,68954.0,2896.0,277,25974.223021582733,15361.028985507246,19652444.223826718,20686.783393501806
Almeria,21140.276315789473,3213322.0,92605.0,7558.0,152,29353.947368421053,12926.605263157895,20083262.5,21140.276315789473
Athletic Club,35119.560563380284,12467444.0,84817.0,3518.0,355,27954.245810055865,42407.01136363636,33363582.535211273,35119.560563380284
Atletico Madrid,42692.260623229464,15070368.0,80965.0,5401.0,353,28782.775862068964,56213.21229050279,40557647.59206799,42692.260623229464
Barcelona,44449.26912181303,15690592.0,95745.0,5711.0,353,30596.350282485877,58380.89772727273,42226805.66572238,44449.26912181303
Celta Vigo,22191.061971830986,7877827.0,81525.0,1738.0,355,27955.435028248587,16459.073033707864,21081508.873239435,22191.061971830986
Cádiz,21640.508771929824,4934036.0,72654.0,5903.0,228,26676.78947368421,16604.22807017544,20558483.333333332,21640.508771929824
Eibar,17556.703703703704,948062.0,66970.0,2689.0,54,28226.35714285714,6066.307692307692,16678868.518518519,17556.703703703704
Elche,21483.54658385093,3458851.0,85073.0,3518.0,161,25225.278481012658,17878.70731707317,20409369.254658382,21483.54658385093
Espanyol,24194.148550724636,6677585.0,88095.0,4721.0,276,26579.623188405796,21808.67391304348,22984441.123188403,24194.148550724636
Getafe,19333.371104815866,6824680.0,89409.0,13.0,353,27989.857954545456,10725.790960451977,18366702.54957507,19333.371104815866
Girona,20957.363228699553,4673492.0,78425.0,7721.0,223,30072.711711711712,11923.401785714286,19909495.067264576,20957.363228699553
Granada,21035.88349514563,4333392.0,70685.0,583.0,206,26600.923076923078,15361.725490196079,19984089.32038835,21035.88349514563
Las Palmas,26562.77142857143,3718788.0,74808.0,7623.0,140,28814.057142857142,24311.485714285714,25234632.857142854,26562.77142857143
Leganés,19459.228813559323,2296189.0,73641.0,13.0,118,28557.758620689656,10663.983333333334,18486267.372881357,19459.228813559323
Levante,20398.861313868612,2794644.0,60401.0,5920.0,137,23656.714285714286,16995.13432835821,19378918.24817518,20398.861313868612
Mallorca,21347.609065155808,7535706.0,88775.0,2896.0,353,27068.637931034482,15786.385474860335,20280228.611898016,21347.609065155808
Osasuna,22985.73937677054,8113966.0,76061.0,6715.0,353,27408.64,18637.38202247191,21836452.407932013,22985.73937677054
Oviedo,23253.5,139521.0,29850.0,8657.0,6,18075.0,28432.0,22090825.0,23253.5
Rayo Vallecano,19187.434782608696,5737043.0,81104.0,583.0,299,26808.013333333332,11515.711409395974,18228063.04347826,19187.434782608696
Real Betis,38255.43661971831,13580680.0,88530.0,1738.0,355,27786.491525423728,48665.56741573034,36342664.788732395,38255.43661971831
Real Madrid,45751.7223796034,16150358.0,95745.0,3968.0,353,31178.27932960894,60743.942528735635,43464136.26062323,45751.7223796034
Real Sociedad,29673.88888888889,10415535.0,88049.0,7652.0,351,29026.659090909092,30324.817142857144,28190194.444444444,29673.88888888889
Sevilla,31424.335211267604,11155639.0,81331.0,4800.0,355,28559.755555555555,34370.76,29853118.45070422,31424.335211267604
Valencia,32936.70903954802,11659595.0,89644.0,2689.0,354,27346.36,38402.13407821229,31289873.58757062,32936.70903954802
Valladolid,24571.09793814433,4766793.0,83972.0,9534.0,194,28570.938775510203,20487.927083333332,23342543.041237112,24571.09793814433
Villarreal,22181.31920903955,7852187.0,73842.0,4800.0,354,27812.949152542373,16549.689265536723,21072253.248587575,22181.31920903955
