Team,Player,Goals,Assists,Expected Goals (xG),Expected Assists (xAG),Minutes,PlayerScore
Alavés,Carlos Vicente,3,0,1.7,1.9000000000000001,1233,13.450000000000001
Alavés,Kiké,3,0,1.5,0.4,762,11.65
Alavés,Toni Martínez,3,0,1.4000000000000001,0.5,492,11.6
Alavés,Jon Guridi,2,0,1.5,0.6,836,8.85
Alavés,Nahuel Tenaglia,1,1,0.5,0.7000000000000001,1111,6.45
Athletic Club,Oihan Sancet,7,0,4.4,0.9,842,28.5
Athletic Club,Iñaki Williams,3,4,3.3,4.1,1203,26.049999999999997
Athletic Club,Álex Berenguer,3,4,3.8,2.5,872,25.2
Athletic Club,Gorka Guruzeta,4,2,2.1,0.30000000000000004,791,19.45
Athletic Club,Nico Williams,1,3,2.0,2.3,1043,14.3
Atlético Madrid,Antoine Griezmann,5,4,3.4,3.7,1104,31.8
Atlético Madrid,Alexander Sørloth,6,2,5.5,1.3,690,31.55
Atlético Madrid,Julián Álvarez,5,2,3.2,1.5,855,25.3
Atlético Madrid,Ángel Correa,2,1,3.2,1.1,407,13.9
Atlético Madrid,Marcos Llorente,2,2,0.1,2.4,764,12.55
Barcelona,Robert Lewandowski,15,2,14.1,2.3000000000000003,1248,72.45
Barcelona,Raphinha,11,6,10.2,7.6,1347,67.89999999999999
Barcelona,Lamine Yamal,5,8,4.5,6.0,1110,43.75
Barcelona,Dani Olmo,5,0,2.2,1.0,472,19.3
Barcelona,Pedri,3,2,0.9,1.8,1172,16.15
Celta Vigo,Iago Aspas,5,3,5.4,2.1,1068,31.200000000000003
Celta Vigo,Óscar Mingueza,2,5,0.4,4.2,1095,20.8
Celta Vigo,Borja Iglesias,4,0,3.6,0.7,748,18.099999999999998
Celta Vigo,Williot Swedberg,2,3,2.8000000000000003,1.7,533,17.9
Celta Vigo,Anastasios Douvikas,3,0,3.9000000000000004,0.3,603,15.150000000000002
Espanyol,Javi Puado,5,1,2.9000000000000004,0.9,1004,22.25
Espanyol,Jofre,2,3,1.6,1.4000000000000001,941,15.8
Espanyol,Álvaro Tejero,1,2,0.4,2.1,692,9.7
Espanyol,Carlos Romero,1,1,0.8999999999999999,0.7,930,7.05
Espanyol,Irvin Cardona,1,1,1.0,0.4,413,6.9
Getafe,Mauro Arambarri,4,0,2.6,0.1,963,16.0
