Team,Forwards,Midfielders,Defenders,Goalkeepers,TotalPlayers,PositionBalance
Athletic Club,62,83,77,18,240,73
Getafe,52,66,60,15,193,80
Real Betis,71,61,72,15,219,79
Girona,61,60,60,15,196,99
Celta Vigo,62,74,58,15,209,72
Alavés,55,52,66,15,188,83
Las Palmas,55,60,69,16,200,86
Sevilla,61,53,64,16,194,81
Osasuna,65,77,66,15,223,77
Leganés,50,67,66,15,198,82
Valencia,33,79,65,13,190,40
Barcelona,60,68,80,17,225,80
Real Sociedad,40,90,77,15,222,37
Rayo Vallecano,48,63,55,13,179,77
Mallorca,60,67,70,16,213,90
Real Madrid,49,53,67,15,184,82
Valladolid,44,66,64,14,188,76
Espanyol,40,64,64,14,182,76
Villarreal,44,77,67,14,202,57
Atlético Madrid,39,61,71,15,186,68
