Team,TotalPlayerRecords,UniquePlayers,TotalGoals,TotalAssists,TotalxG,TotalxAG,AvgGoalsPerPlayer,AvgAssistsPerPlayer,AvgxGPerPlayer,AvgxAGPerPlayer,AvgAge,MinAge,MaxAge,AgeRange
Athletic Club,256,27,24,20,22.300000000000004,15.899999999999999,0.8888888888888888,0.7407407407407407,0.8259259259259261,0.5888888888888888,26.6640625,19,35,16
Getafe,232,26,10,4,14.600000000000001,8.6,0.38461538461538464,0.15384615384615385,0.5615384615384615,0.33076923076923076,26.08189655172414,18,36,18
Real Betis,236,27,13,10,21.6,15.5,0.48148148148148145,0.37037037037037035,0.8,0.5740740740740741,26.88135593220339,18,33,15
Girona,229,27,21,15,19.5,13.9,0.7777777777777778,0.5555555555555556,0.7222222222222222,0.5148148148148148,26.733624454148472,18,38,20
Celta Vigo,239,26,22,14,22.0,16.8,0.8461538461538461,0.5384615384615384,0.8461538461538461,0.6461538461538462,26.225941422594143,20,37,17
Alavés,236,24,16,8,15.000000000000002,8.8,0.6666666666666666,0.3333333333333333,0.6250000000000001,0.3666666666666667,26.423728813559322,19,35,16
Las Palmas,243,27,18,14,13.9,10.4,0.6666666666666666,0.5185185185185185,0.5148148148148148,0.3851851851851852,27.40740740740741,19,36,17
Sevilla,235,27,11,9,16.5,10.7,0.4074074074074074,0.3333333333333333,0.6111111111111112,0.39629629629629626,25.97872340425532,19,39,20
Osasuna,238,22,18,10,15.2,9.8,0.8181818181818182,0.45454545454545453,0.6909090909090909,0.4454545454545455,27.19327731092437,21,33,12
Leganés,235,23,14,13,10.3,6.6,0.6086956521739131,0.5652173913043478,0.44782608695652176,0.28695652173913044,27.28936170212766,23,32,9
Valencia,205,26,13,7,10.3,7.0,0.5,0.2692307692307692,0.3961538461538462,0.2692307692307692,24.13170731707317,16,31,15
Barcelona,251,25,48,34,40.3,30.4,1.92,1.36,1.6119999999999999,1.216,23.641434262948206,17,36,19
Real Sociedad,235,26,12,9,18.3,14.4,0.46153846153846156,0.34615384615384615,0.7038461538461539,0.5538461538461539,24.974468085106384,18,32,14
Rayo Vallecano,208,23,10,8,13.7,10.5,0.43478260869565216,0.34782608695652173,0.5956521739130435,0.45652173913043476,28.95673076923077,23,36,13
Mallorca,255,24,15,12,16.1,11.4,0.625,0.5,0.6708333333333334,0.47500000000000003,27.976470588235294,18,36,18
Real Madrid,223,22,31,22,29.4,19.700000000000003,1.4090909090909092,1.0,1.3363636363636362,0.8954545454545456,26.58744394618834,18,39,21
Valladolid,222,26,9,6,11.4,7.4,0.34615384615384615,0.23076923076923078,0.43846153846153846,0.2846153846153846,25.41891891891892,18,32,14
Espanyol,223,23,14,11,11.6,8.0,0.6086956521739131,0.4782608695652174,0.5043478260869565,0.34782608695652173,25.394618834080717,19,33,14
Villarreal,219,23,25,19,24.400000000000002,17.1,1.0869565217391304,0.8260869565217391,1.0608695652173914,0.7434782608695653,26.91324200913242,19,39,20
Atlético Madrid,238,23,26,22,25.0,19.6,1.1304347826086956,0.9565217391304348,1.0869565217391304,0.8521739130434783,28.1218487394958,21,35,14
