Team,TotalPlayerRecords,UniquePlayers,TotalGoals,TotalAssists,TotalxG,TotalxAG,AvgGoalsPerPlayer,AvgAssistsPerPlayer,AvgxGPerPlayer,AvgxAGPerPlayer,AvgAge_x,MinAge,MaxAge,AgeRange,Forwards,Midfielders,Defenders,Goalkeepers,TotalPlayers,PositionBalance,YoungPlayers,PrimePlayers,ExperiencedPlayers,AvgAge_y,SquadValueScore
Athletic Club,256,27,24,20,22.300000000000004,15.899999999999999,0.8888888888888888,0.7407407407407407,0.8259259259259261,0.5888888888888888,26.6640625,19,35,16,62,83,77,18,240,73,57,123,76,26.6640625,50.00014404351266
Getafe,232,26,10,4,14.600000000000001,8.6,0.38461538461538464,0.15384615384615385,0.5615384615384615,0.33076923076923076,26.08189655172414,18,36,18,52,66,60,15,193,80,72,105,55,26.08189655172414,22.98667612281549
Real Betis,236,27,13,10,21.6,15.5,0.48148148148148145,0.37037037037037035,0.8,0.5740740740740741,26.88135593220339,18,33,15,71,61,72,15,219,79,41,107,88,26.88135593220339,36.180382703340356
Girona,229,27,21,15,19.5,13.9,0.7777777777777778,0.5555555555555556,0.7222222222222222,0.5148148148148148,26.733624454148472,18,38,20,61,60,60,15,196,99,51,104,74,26.733624454148472,42.03326185218476
Celta Vigo,239,26,22,14,22.0,16.8,0.8461538461538461,0.5384615384615384,0.8461538461538461,0.6461538461538462,26.225941422594143,20,37,17,62,74,58,15,209,72,76,102,61,26.225941422594143,46.86960760183359
Alavés,236,24,16,8,15.000000000000002,8.8,0.6666666666666666,0.3333333333333333,0.6250000000000001,0.3666666666666667,26.423728813559322,19,35,16,55,52,66,15,188,83,33,161,42,26.423728813559322,32.26774744114702
Las Palmas,243,27,18,14,13.9,10.4,0.6666666666666666,0.5185185185185185,0.5148148148148148,0.3851851851851852,27.40740740740741,19,36,17,55,60,69,16,200,86,50,132,61,27.40740740740741,34.26764045771836
Sevilla,235,27,11,9,16.5,10.7,0.4074074074074074,0.3333333333333333,0.6111111111111112,0.39629629629629626,25.97872340425532,19,39,20,61,53,64,16,194,81,80,109,46,25.97872340425532,28.48875254903668
Osasuna,238,22,18,10,15.2,9.8,0.8181818181818182,0.45454545454545453,0.6909090909090909,0.4454545454545455,27.19327731092437,21,33,12,65,77,66,15,223,77,27,115,96,27.19327731092437,39.18135226652904
Leganés,235,23,14,13,10.3,6.6,0.6086956521739131,0.5652173913043478,0.44782608695652176,0.28695652173913044,27.28936170212766,23,32,9,50,67,66,15,198,82,0,180,55,27.28936170212766,31.56576843080584
Valencia,205,26,13,7,10.3,7.0,0.5,0.2692307692307692,0.3961538461538462,0.2692307692307692,24.13170731707317,16,31,15,33,79,65,13,190,40,78,102,25,24.13170731707317,23.333557831919098
Barcelona,251,25,48,34,40.3,30.4,1.92,1.36,1.6119999999999999,1.216,23.641434262948206,17,36,19,60,68,80,17,225,80,135,80,36,23.641434262948206,100.0
Real Sociedad,235,26,12,9,18.3,14.4,0.46153846153846156,0.34615384615384615,0.7038461538461539,0.5538461538461539,24.974468085106384,18,32,14,40,90,77,15,222,37,72,153,10,24.974468085106384,33.59970056677798
Rayo Vallecano,208,23,10,8,13.7,10.5,0.43478260869565216,0.34782608695652173,0.5956521739130435,0.45652173913043476,28.95673076923077,23,36,13,48,63,55,13,179,77,0,120,88,28.95673076923077,29.933703242640753
Mallorca,255,24,15,12,16.1,11.4,0.625,0.5,0.6708333333333334,0.47500000000000003,27.976470588235294,18,36,18,60,67,70,16,213,90,18,137,100,27.976470588235294,37.17304423320197
Real Madrid,223,22,31,22,29.4,19.700000000000003,1.4090909090909092,1.0,1.3363636363636362,0.8954545454545456,26.58744394618834,18,39,21,49,53,67,15,184,82,41,120,62,26.58744394618834,75.8525117085551
Valladolid,222,26,9,6,11.4,7.4,0.34615384615384615,0.23076923076923078,0.43846153846153846,0.2846153846153846,25.41891891891892,18,32,14,44,66,64,14,188,76,63,130,29,25.41891891891892,21.13187120796219
Espanyol,223,23,14,11,11.6,8.0,0.6086956521739131,0.4782608695652174,0.5043478260869565,0.34782608695652173,25.394618834080717,19,33,14,40,64,64,14,182,76,48,138,37,25.394618834080717,31.84502496253199
Villarreal,219,23,25,19,24.400000000000002,17.1,1.0869565217391304,0.8260869565217391,1.0608695652173914,0.7434782608695653,26.91324200913242,19,39,20,44,77,67,14,202,57,45,102,72,26.91324200913242,60.85007028488384
Atlético Madrid,238,23,26,22,25.0,19.6,1.1304347826086956,0.9565217391304348,1.0869565217391304,0.8521739130434783,28.1218487394958,21,35,14,39,61,71,15,186,68,20,129,89,28.1218487394958,66.11944814550449
